"gene","distance","Z","FC","p.value","p.adj"
"CHI3L1",8.08720613474986e-06,0.873402226131562,0.415047761936426,0.519418515882502,0.999999999894589
"EMP1",8.05585569229724e-06,0.871388630287147,0.41183609400759,0.521039044704426,0.999999999894589
"VSTM2L",8.04073575832245e-06,0.870415116289902,0.410291604840956,0.521821535367172,0.999999999894589
"CYB5A",7.90114233203304e-06,0.861352981041366,0.396169302624445,0.529074249348061,0.999999999894589
"AQP5",7.46856170466653e-06,0.832379239520824,0.353976961742711,0.551870456128714,0.999999999894589
"S100A10",7.08527805068072e-06,0.805490047002865,0.318577314249541,0.572463883918101,0.999999999894589
"TNFRSF21",6.89514292182733e-06,0.791689444482317,0.301708534700844,0.582813300296814,0.999999999894589
"DSG2",6.6753120338719e-06,0.775324360526785,0.282777071903263,0.594886775728832,0.999999999894589
"SLC9A3R2",6.63383429146656e-06,0.772185354253036,0.279273860382802,0.597177549715926,0.999999999894589
"CLDN3",6.25419120692493e-06,0.742651686739358,0.248223765591388,0.618328564882493,0.999999999894589
"VIM",6.21338218928178e-06,0.739386995642033,0.244994980609584,0.620621525586011,0.999999999894589
"PDZK1IP1",6.10091434321306e-06,0.730294391669767,0.236205989289821,0.626959879534862,0.999999999894589
"SERPINA1",6.03497546239565e-06,0.724897028133832,0.231127737311762,0.630688886193441,0.999999999894589
"MDK",5.760233502693e-06,0.701854362725388,0.210562596790545,0.646326803389882,0.999999999894589
"HLA-B",5.6681178898096e-06,0.693919337808825,0.203881959679349,0.651605518663524,0.999999999894589
"DSP",5.55250032244139e-06,0.683803213694449,0.195649271558406,0.658255788060314,0.999999999894589
"HLA-DPA1",5.24205818318077e-06,0.655726863741308,0.174383232734212,0.67624531179633,0.999999999894589
"PLEC",5.1629602118193e-06,0.648347769058216,0.169160362351825,0.68085910070121,0.999999999894589
"MTA1",4.9958298243936e-06,0.632434604264366,0.158385829376352,0.690647013040565,0.999999999894589
"HLA-A",4.81248451811067e-06,0.614448459728488,0.146973738466628,0.701444301368778,0.999999999894589
"S100A2",4.78724918871556e-06,0.611927465859691,0.145436400990091,0.702935212283138,0.999999999894589
"C3",4.7719093423016e-06,0.610389500169681,0.144505846678156,0.703842054179527,0.999999999894589
"MAL2",4.75358518751712e-06,0.608546812212221,0.143398171218857,0.704925870881602,0.999999999894589
"TUBA1C",4.66479435950297e-06,0.599531525364272,0.138091216961632,0.710186023061298,0.999999999894589
"AHNAK",4.47660332694141e-06,0.579931095743987,0.127173983984375,0.721380334407431,0.999999999894589
"ITGA3",4.37897800903555e-06,0.56948584552508,0.121687670897805,0.727211233987012,0.999999999894589
"MT1E",4.37059146547232e-06,0.568579339454423,0.121222008959498,0.727712883075727,0.999999999894589
"BIRC3",4.37013613198833e-06,0.568530079913377,0.121196752165357,0.727740122623455,0.999999999894589
"HLA-C",4.10230482728629e-06,0.538769456910157,0.106796472105745,0.743821205383754,0.999999999894589
"SERPINB1",3.95755432788552e-06,0.521991102039211,0.0993927761787202,0.752559546707074,0.999999999894589
